"","case","id","sex","deg","yrdeg","field","startyr","year","rank","admin","salary"
"104",104,15,"M","PhD",72,"Other",91,95,"Full",0,5088
"105",105,16,"M","PhD",73,"Other",79,79,"Assist",0,1889
"106",106,16,"M","PhD",73,"Other",79,80,"Assist",0,2037
"107",107,16,"M","PhD",73,"Other",79,81,"Assist",0,2323
"108",108,16,"M","PhD",73,"Other",79,82,"Assoc",0,2425
"109",109,16,"M","PhD",73,"Other",79,83,"Assoc",0,3619
"110",110,16,"M","PhD",73,"Other",79,84,"Assoc",0,3742
"111",111,16,"M","PhD",73,"Other",79,85,"Assoc",0,3742
"112",112,16,"M","PhD",73,"Other",79,86,"Assoc",0,4081
"113",113,16,"M","PhD",73,"Other",79,87,"Assoc",0,4286
"114",114,16,"M","PhD",73,"Other",79,88,"Assoc",0,4538
"115",115,16,"M","PhD",73,"Other",79,89,"Full",0,5290
"116",116,16,"M","PhD",73,"Other",79,90,"Full",0,6480
"117",117,16,"M","PhD",73,"Other",79,91,"Full",0,6977
"118",118,16,"M","PhD",73,"Other",79,92,"Full",0,7180
"119",119,16,"M","PhD",73,"Other",79,93,"Full",0,7602
"120",120,16,"M","PhD",73,"Other",79,94,"Full",0,7602
"121",121,16,"M","PhD",73,"Other",79,95,"Full",0,7935
"122",122,17,"M","PhD",72,"Other",72,76,"Assist",0,1773
"123",123,17,"M","PhD",72,"Other",72,77,"Assoc",0,2019
"124",124,17,"M","PhD",72,"Other",72,78,"Assoc",0,2176
"125",125,17,"M","PhD",72,"Other",72,79,"Assoc",0,2411
"126",126,17,"M","PhD",72,"Other",72,80,"Assoc",0,2552
"127",127,17,"M","PhD",72,"Other",72,81,"Assoc",0,2758
"128",128,17,"M","PhD",72,"Other",72,82,"Assoc",0,2838
"129",129,17,"M","PhD",72,"Other",72,83,"Full",0,2994
"130",130,17,"M","PhD",72,"Other",72,84,"Full",0,3197
"131",131,17,"M","PhD",72,"Other",72,85,"Full",0,3197
"132",132,17,"M","PhD",72,"Other",72,86,"Full",0,3293
"133",133,17,"M","PhD",72,"Other",72,87,"Full",0,3458
"134",134,17,"M","PhD",72,"Other",72,88,"Full",0,3877
"135",135,17,"M","PhD",72,"Other",72,89,"Full",0,4520
"136",136,17,"M","PhD",72,"Other",72,90,"Full",0,4731
"137",137,17,"M","PhD",72,"Other",72,91,"Full",0,5168
"138",138,17,"M","PhD",72,"Other",72,92,"Full",0,5318
"139",139,17,"M","PhD",72,"Other",72,93,"Full",0,5394
"140",140,17,"M","PhD",72,"Other",72,94,"Full",0,5394
"141",141,17,"M","PhD",72,"Other",72,95,"Full",0,5472
"142",142,18,"M","PhD",67,"Prof",69,76,"Assoc",0,2180
"143",143,18,"M","PhD",67,"Prof",69,77,"Assoc",0,1915
"144",144,18,"M","PhD",67,"Prof",69,79,"Full",0,2610
"145",145,18,"M","PhD",67,"Prof",69,81,"Full",0,3178
"146",146,18,"M","PhD",67,"Prof",69,82,"Full",0,3365
"147",147,18,"M","PhD",67,"Prof",69,83,"Full",0,3550
"148",148,18,"M","PhD",67,"Prof",69,84,"Full",0,4013
"149",149,18,"M","PhD",67,"Prof",69,85,"Full",0,4013
"150",150,18,"M","PhD",67,"Prof",69,86,"Full",0,4908
"151",151,18,"M","PhD",67,"Prof",69,87,"Full",0,5155
"152",152,18,"M","PhD",67,"Prof",69,88,"Full",0,5305
"153",153,18,"M","PhD",67,"Prof",69,89,"Full",0,5756
"154",154,18,"M","PhD",67,"Prof",69,90,"Full",0,6025
"155",155,18,"M","PhD",67,"Prof",69,91,"Full",0,6305
"156",156,18,"M","PhD",67,"Prof",69,92,"Full",0,6581
"157",157,18,"M","PhD",67,"Prof",69,93,"Full",0,6772
"158",158,18,"M","PhD",67,"Prof",69,94,"Full",0,6772
"159",159,18,"M","PhD",67,"Prof",69,95,"Full",0,7069
"160",160,19,"M","PhD",79,"Other",91,91,"Assist",0,3221
"161",161,19,"M","PhD",79,"Other",91,92,"Assist",0,3509
"162",162,19,"M","PhD",79,"Other",91,93,"Assist",0,3509
"163",163,19,"M","PhD",79,"Other",91,94,"Assoc",0,3611
"164",164,19,"M","PhD",79,"Other",91,95,"Assoc",0,4332
"165",165,20,"F","PhD",92,"Arts",95,95,"Assist",0,4231
"166",166,21,"M","PhD",88,"Arts",88,88,"Assist",0,2913
"167",167,21,"M","PhD",88,"Arts",88,89,"Assist",0,3029
"168",168,21,"M","PhD",88,"Arts",88,90,"Assist",0,3310
"169",169,21,"M","PhD",88,"Arts",88,91,"Assist",0,3564
"170",170,21,"M","PhD",88,"Arts",88,92,"Assist",0,3774
"171",171,21,"M","PhD",88,"Arts",88,93,"Assist",0,3883
"172",172,21,"M","PhD",88,"Arts",88,94,"Assoc",0,3996
"173",173,21,"M","PhD",88,"Arts",88,95,"Assoc",0,4171
"174",174,22,"M","PhD",93,"Other",93,93,"Assist",0,4676
"175",175,22,"M","PhD",93,"Other",93,94,"Assist",0,4676
"176",176,22,"M","PhD",93,"Other",93,95,"Assist",0,4881
"177",177,23,"M","PhD",70,"Other",70,76,"Full",0,2601.818
"178",178,23,"M","PhD",70,"Other",70,77,"Full",0,2990.411
"179",179,23,"M","PhD",70,"Other",70,78,"Full",0,3195.522
"180",180,23,"M","PhD",70,"Other",70,79,"Full",0,3556
"181",181,23,"M","PhD",70,"Other",70,80,"Full",0,3897
"182",182,23,"M","PhD",70,"Other",70,81,"Full",0,4358
"183",183,23,"M","PhD",70,"Other",70,82,"Full",0,4681
"184",184,23,"M","PhD",70,"Other",70,84,"Full",0,5199
"185",185,23,"M","PhD",70,"Other",70,85,"Full",0,5199
"186",186,23,"M","PhD",70,"Other",70,86,"Full",0,6730
"187",187,23,"M","PhD",70,"Other",70,87,"Full",0,7067
"188",188,23,"M","PhD",70,"Other",70,88,"Full",0,7377
"189",189,23,"M","PhD",70,"Other",70,89,"Full",0,8122
"190",190,23,"M","PhD",70,"Other",70,90,"Full",0,8748
"191",191,23,"M","PhD",70,"Other",70,91,"Full",0,9420
"192",192,23,"M","PhD",70,"Other",70,92,"Full",0,9974
"193",193,23,"M","PhD",70,"Other",70,93,"Full",0,10411
"194",194,23,"M","PhD",70,"Other",70,94,"Full",0,10411
"195",195,23,"M","PhD",70,"Other",70,95,"Full",0,10867
"196",196,24,"M","PhD",76,"Prof",83,83,"Assoc",0,3985
"197",197,24,"M","PhD",76,"Prof",83,84,"Assoc",0,4195
"198",198,24,"M","PhD",76,"Prof",83,85,"Assoc",0,4195
"199",199,24,"M","PhD",76,"Prof",83,86,"Full",0,5354
"200",200,24,"M","PhD",76,"Prof",83,87,"Full",0,5623
"201",201,24,"M","PhD",76,"Prof",83,88,"Full",0,5953
"202",202,24,"M","PhD",76,"Prof",83,89,"Full",0,6462
"203",203,24,"M","PhD",76,"Prof",83,90,"Full",0,7583
"204",204,24,"M","PhD",76,"Prof",83,91,"Full",0,8049
"205",205,24,"M","PhD",76,"Prof",83,92,"Full",0,8402
"206",206,24,"M","PhD",76,"Prof",83,93,"Full",0,8770
"207",207,24,"M","PhD",76,"Prof",83,94,"Full",0,8770
"208",208,24,"M","PhD",76,"Prof",83,95,"Full",0,9420
"209",209,26,"M","PhD",67,"Other",71,76,"Assoc",0,1908.772
"210",210,26,"M","PhD",67,"Other",71,77,"Assoc",0,2097
"211",211,26,"M","PhD",67,"Other",71,78,"Assoc",0,2176
"212",212,26,"M","PhD",67,"Other",71,79,"Assoc",0,2454
"213",213,26,"M","PhD",67,"Other",71,80,"Assoc",0,2642
"214",214,26,"M","PhD",67,"Other",71,81,"Assoc",0,2838
"215",215,26,"M","PhD",67,"Other",71,82,"Assoc",0,2920
"216",216,26,"M","PhD",67,"Other",71,83,"Assoc",0,3081
"217",217,26,"M","PhD",67,"Other",71,84,"Assoc",0,3484
"218",218,26,"M","PhD",67,"Other",71,85,"Full",0,3586
"219",219,26,"M","PhD",67,"Other",71,86,"Full",0,4023
"220",220,26,"M","PhD",67,"Other",71,87,"Full",0,4225
"221",221,26,"M","PhD",67,"Other",71,88,"Full",0,4410
"222",222,26,"M","PhD",67,"Other",71,89,"Full",0,4718
"223",223,26,"M","PhD",67,"Other",71,90,"Full",0,4800
"224",224,26,"M","PhD",67,"Other",71,91,"Full",0,4881
"225",225,26,"M","PhD",67,"Other",71,92,"Full",0,4881
"226",226,26,"M","PhD",67,"Other",71,93,"Full",0,4951
"227",227,26,"M","PhD",67,"Other",71,94,"Full",0,4951
"228",228,26,"M","PhD",67,"Other",71,95,"Full",0,5022
"229",229,28,"M","PhD",92,"Prof",93,93,"Assist",0,3828
"230",230,28,"M","PhD",92,"Prof",93,94,"Assist",0,3828
"231",231,28,"M","PhD",92,"Prof",93,95,"Assist",0,4292
"232",232,29,"M","PhD",80,"Other",81,81,"Assist",0,1985
"233",233,29,"M","PhD",80,"Other",81,85,"Assist",0,3223
"234",234,29,"M","PhD",80,"Other",81,86,"Assist",0,3341
"235",235,29,"M","PhD",80,"Other",81,87,"Assoc",0,3610
"236",236,29,"M","PhD",80,"Other",81,88,"Assoc",0,3715
"237",237,29,"M","PhD",80,"Other",81,89,"Assoc",0,4032
"238",238,29,"M","PhD",80,"Other",81,90,"Assoc",0,4281
"239",239,29,"M","PhD",80,"Other",81,91,"Assoc",0,4480
"240",240,29,"M","PhD",80,"Other",81,92,"Assoc",0,4676
"241",241,29,"M","PhD",80,"Other",81,93,"Assoc",0,4812
"242",242,29,"M","PhD",80,"Other",81,94,"Assoc",0,4812
"243",243,29,"M","PhD",80,"Other",81,95,"Assoc",0,5022
"244",244,30,"M","PhD",78,"Other",87,87,"Assoc",0,3873
"245",245,30,"M","PhD",78,"Other",87,88,"Assoc",0,3986
"246",246,30,"M","PhD",78,"Other",87,89,"Assoc",0,4450
"247",247,30,"M","PhD",78,"Other",87,90,"Assoc",0,4933
"248",248,30,"M","PhD",78,"Other",87,91,"Full",0,5624
"249",249,30,"M","PhD",78,"Other",87,92,"Full",0,6040
"250",250,30,"M","PhD",78,"Other",87,93,"Full",0,6216
"251",251,30,"M","PhD",78,"Other",87,94,"Full",0,6216
"252",252,30,"M","PhD",78,"Other",87,95,"Full",0,6488
"253",253,31,"M","PhD",86,"Other",90,90,"Assist",0,4220
"254",254,31,"M","PhD",86,"Other",90,91,"Assist",0,4292
"255",255,31,"M","PhD",86,"Other",90,92,"Assist",0,4416
"256",256,31,"M","PhD",86,"Other",90,93,"Assist",0,4610
"257",257,31,"M","PhD",86,"Other",90,94,"Assoc",0,4743
"258",258,31,"M","PhD",86,"Other",90,95,"Assoc",0,5022
"259",259,32,"M","PhD",91,"Arts",95,95,"Assist",0,3939
"260",260,34,"M","PhD",86,"Other",95,95,"Assoc",0,8278
"261",261,35,"M","PhD",64,"Other",65,76,"Full",1,3246
"262",262,35,"M","PhD",64,"Other",65,77,"Full",1,3563.636
"263",263,35,"M","PhD",64,"Other",65,78,"Full",0,3672
"264",264,35,"M","PhD",64,"Other",65,79,"Full",0,4009
"265",265,35,"M","PhD",64,"Other",65,80,"Full",0,4276
"266",266,35,"M","PhD",64,"Other",65,81,"Full",0,4681
"267",267,35,"M","PhD",64,"Other",65,82,"Full",0,5006.061
"268",268,35,"M","PhD",64,"Other",65,83,"Full",0,5229
"269",269,35,"M","PhD",64,"Other",65,84,"Full",0,5504
"270",270,35,"M","PhD",64,"Other",65,85,"Full",0,5504
"271",271,35,"M","PhD",64,"Other",65,86,"Full",0,6002
"272",272,35,"M","PhD",64,"Other",65,87,"Full",0,6304
"273",273,35,"M","PhD",64,"Other",65,88,"Full",0,6394
"274",274,35,"M","PhD",64,"Other",65,89,"Full",0,6842
"275",275,35,"M","PhD",64,"Other",65,90,"Full",0,7162
"276",276,35,"M","PhD",64,"Other",65,91,"Full",0,7494
"277",277,35,"M","PhD",64,"Other",65,92,"Full",0,7712
"278",278,35,"M","PhD",64,"Other",65,93,"Full",0,7935
"279",279,35,"M","PhD",64,"Other",65,94,"Full",0,7935
"280",280,35,"M","PhD",64,"Other",65,95,"Full",0,8165
"281",281,36,"M","PhD",67,"Prof",73,76,"Assoc",1,2052
"282",282,36,"M","PhD",67,"Prof",73,77,"Assoc",1,2296
"283",283,36,"M","PhD",67,"Prof",73,78,"Assoc",1,2501.333
"284",284,36,"M","PhD",67,"Prof",73,79,"Assoc",1,2850
"285",285,36,"M","PhD",67,"Prof",73,80,"Assoc",1,3153.333
"286",286,36,"M","PhD",67,"Prof",73,81,"Assoc",0,3500
"287",287,36,"M","PhD",67,"Prof",73,82,"Assoc",0,3517
"288",288,36,"M","PhD",67,"Prof",73,83,"Assoc",0,3764
"289",289,36,"M","PhD",67,"Prof",73,84,"Assoc",0,3962
"290",290,36,"M","PhD",67,"Prof",73,85,"Assoc",0,3962
"291",291,36,"M","PhD",67,"Prof",73,86,"Assoc",0,4081
"292",292,36,"M","PhD",67,"Prof",73,87,"Assoc",0,4285
"293",293,36,"M","PhD",67,"Prof",73,88,"Full",0,4603
"294",294,36,"M","PhD",67,"Prof",73,89,"Full",0,5068
"295",295,36,"M","PhD",67,"Prof",73,90,"Full",0,5617
"296",296,36,"M","PhD",67,"Prof",73,91,"Full",0,6135
"297",297,36,"M","PhD",67,"Prof",73,92,"Full",0,6313
"298",298,36,"M","PhD",67,"Prof",73,93,"Full",0,6404
"299",299,36,"M","PhD",67,"Prof",73,94,"Full",0,6404
"300",300,36,"M","PhD",67,"Prof",73,95,"Full",0,6684
"301",301,37,"F","PhD",93,"Other",93,93,"Assist",0,4112
"302",302,37,"F","PhD",93,"Other",93,94,"Assist",0,4112
"303",303,37,"F","PhD",93,"Other",93,95,"Assist",0,4292
"304",304,39,"M","PhD",59,"Prof",95,95,"Full",0,14464
"305",305,40,"M","PhD",62,"Other",70,76,"Full",0,2810
"306",306,40,"M","PhD",62,"Other",70,77,"Full",0,3202
"307",307,40,"M","PhD",62,"Other",70,78,"Full",0,3434
"308",308,40,"M","PhD",62,"Other",70,79,"Full",0,3906
"309",309,40,"M","PhD",62,"Other",70,80,"Full",0,4169
"310",310,40,"M","PhD",62,"Other",70,81,"Full",0,4548
"311",311,40,"M","PhD",62,"Other",70,82,"Full",0,4548
"312",312,40,"M","PhD",62,"Other",70,83,"Full",0,4798
"313",313,40,"M","PhD",62,"Other",70,84,"Full",0,4981
"314",314,40,"M","PhD",62,"Other",70,85,"Full",0,4981
"315",315,40,"M","PhD",62,"Other",70,86,"Full",0,5431
"316",316,40,"M","PhD",62,"Other",70,87,"Full",0,5703
"317",317,40,"M","PhD",62,"Other",70,88,"Full",0,6039
"318",318,40,"M","PhD",62,"Other",70,89,"Full",0,6555
"319",319,40,"M","PhD",62,"Other",70,90,"Full",0,6861
"320",320,40,"M","PhD",62,"Other",70,91,"Full",0,7283
"321",321,40,"M","PhD",62,"Other",70,92,"Full",0,7388
"322",322,40,"M","PhD",62,"Other",70,93,"Full",0,7494
"323",323,40,"M","PhD",62,"Other",70,94,"Full",0,7494
"324",324,40,"M","PhD",62,"Other",70,95,"Full",0,7712
"325",325,41,"M","PhD",66,"Other",66,76,"Full",0,2171
"326",326,41,"M","PhD",66,"Other",66,77,"Full",0,2482
"327",327,41,"M","PhD",66,"Other",66,78,"Full",0,2671
"328",328,41,"M","PhD",66,"Other",66,79,"Full",0,2986
"329",329,41,"M","PhD",66,"Other",66,80,"Full",0,3239
"330",330,41,"M","PhD",66,"Other",66,81,"Full",0,3619.403
"331",331,41,"M","PhD",66,"Other",66,82,"Full",0,3723
"332",332,41,"M","PhD",66,"Other",66,83,"Full",0,3928
"333",333,41,"M","PhD",66,"Other",66,84,"Full",0,4195
"334",334,41,"M","PhD",66,"Other",66,85,"Full",0,4195
"335",335,41,"M","PhD",66,"Other",66,86,"Full",0,4321
"336",336,41,"M","PhD",66,"Other",66,87,"Full",0,4538
"337",337,41,"M","PhD",66,"Other",66,88,"Full",0,4669
"338",338,41,"M","PhD",66,"Other",66,89,"Full",0,4996
"339",339,41,"M","PhD",66,"Other",66,90,"Full",0,5229
"340",340,41,"M","PhD",66,"Other",66,91,"Full",0,5794
"341",341,41,"M","PhD",66,"Other",66,92,"Full",0,6135
"342",342,41,"M","PhD",66,"Other",66,93,"Full",0,6404
"343",343,41,"M","PhD",66,"Other",66,94,"Full",0,6404.478
"344",344,41,"M","PhD",66,"Other",66,95,"Full",0,7361
"345",345,42,"M","PhD",88,"Prof",88,88,"Assist",0,4603
"346",346,42,"M","PhD",88,"Prof",88,89,"Assist",0,4651
"347",347,42,"M","PhD",88,"Prof",88,90,"Assist",0,5229
"348",348,42,"M","PhD",88,"Prof",88,91,"Assist",0,5631
"349",349,42,"M","PhD",88,"Prof",88,92,"Assist",0,5878
"350",350,42,"M","PhD",88,"Prof",88,93,"Assoc",0,6223
"351",351,42,"M","PhD",88,"Prof",88,94,"Assoc",0,6223
"352",352,42,"M","PhD",88,"Prof",88,95,"Assoc",0,6684
"353",353,44,"F","PhD",95,"Other",95,95,"Assist",0,4292
"354",354,45,"F","PhD",69,"Arts",83,83,"Assist",0,2154
"355",355,45,"F","PhD",69,"Arts",83,84,"Assist",0,2368
"356",356,45,"F","PhD",69,"Arts",83,85,"Assist",0,2368
"357",357,45,"F","PhD",69,"Arts",83,86,"Assist",0,2735
"358",358,45,"F","PhD",69,"Arts",83,87,"Assist",0,2872
"359",359,45,"F","PhD",69,"Arts",83,88,"Assist",0,2955
"360",360,45,"F","PhD",69,"Arts",83,89,"Assoc",0,3596
"361",361,45,"F","PhD",69,"Arts",83,90,"Assoc",0,3711
"362",362,45,"F","PhD",69,"Arts",83,91,"Assoc",0,4053
"363",363,45,"F","PhD",69,"Arts",83,92,"Assoc",0,4171
"364",364,45,"F","PhD",69,"Arts",83,93,"Assoc",0,4231
"365",365,45,"F","PhD",69,"Arts",83,94,"Assoc",0,4231
"366",366,45,"F","PhD",69,"Arts",83,95,"Assoc",0,4353
"367",367,46,"M","PhD",77,"Arts",87,87,"Assist",0,3361
"368",368,46,"M","PhD",77,"Arts",87,88,"Assist",0,3361
"369",369,46,"M","PhD",77,"Arts",87,89,"Assoc",0,4269
"370",370,46,"M","PhD",77,"Arts",87,90,"Assoc",0,4405
"371",371,46,"M","PhD",77,"Arts",87,91,"Assoc",1,4610
"372",372,46,"M","PhD",77,"Arts",87,92,"Assoc",1,4812
"373",373,46,"M","PhD",77,"Arts",87,93,"Full",1,5242
"374",374,46,"M","PhD",77,"Arts",87,94,"Full",0,5242
"375",375,46,"M","PhD",77,"Arts",87,95,"Full",0,5394
"376",376,47,"M","PhD",68,"Other",68,76,"Assoc",0,1838
"377",377,47,"M","PhD",68,"Other",68,77,"Assoc",0,2096
"378",378,47,"M","PhD",68,"Other",68,78,"Assoc",0,2278.788
"379",379,47,"M","PhD",68,"Other",68,79,"Assoc",0,2540
"380",380,47,"M","PhD",68,"Other",68,80,"Assoc",0,2732
"381",381,47,"M","PhD",68,"Other",68,81,"Assoc",0,2962
"382",382,47,"M","PhD",68,"Other",68,82,"Assoc",0,2962
"383",383,47,"M","PhD",68,"Other",68,83,"Assoc",0,3125
"384",384,47,"M","PhD",68,"Other",68,84,"Full",0,3586
"385",385,47,"M","PhD",68,"Other",68,85,"Full",0,3586
"386",386,47,"M","PhD",68,"Other",68,86,"Full",0,4023
"387",387,47,"M","PhD",68,"Other",68,87,"Full",0,4225
"388",388,47,"M","PhD",68,"Other",68,88,"Full",0,4347
"389",389,47,"M","PhD",68,"Other",68,89,"Full",0,4718
"390",390,47,"M","PhD",68,"Other",68,90,"Full",0,4939
"391",391,47,"M","PhD",68,"Other",68,91,"Full",0,5095
"392",392,47,"M","PhD",68,"Other",68,92,"Full",0,5168
"393",393,47,"M","PhD",68,"Other",68,93,"Full",0,5318
"394",394,47,"M","PhD",68,"Other",68,94,"Full",0,5318
"395",395,47,"M","PhD",68,"Other",68,95,"Full",0,5712
"396",396,48,"M","PhD",56,"Other",90,90,"Full",0,11155
"397",397,48,"M","PhD",56,"Other",90,91,"Full",0,11840
"398",398,48,"M","PhD",56,"Other",90,92,"Full",0,12184
"399",399,48,"M","PhD",56,"Other",90,93,"Full",0,12537
"400",400,48,"M","PhD",56,"Other",90,94,"Full",0,12537
"401",401,48,"M","PhD",56,"Other",90,95,"Full",0,13086
"402",402,49,"M","PhD",71,"Other",73,76,"Assist",0,1683
"403",403,49,"M","PhD",71,"Other",73,77,"Assist",0,1828
"404",404,49,"M","PhD",71,"Other",73,78,"Assoc",0,2019
"405",405,49,"M","PhD",71,"Other",73,79,"Assoc",0,2314.925
"406",406,49,"M","PhD",71,"Other",73,80,"Assoc",0,2552
"407",407,49,"M","PhD",71,"Other",73,81,"Assoc",0,2798
